"Report Group Date","VehicleReg","DriverID","VehicleStatus","MOBILESPEED","MOBILEODO","Location","SkillSet","MsgTypeId","LocationTolerance","STATUS1"
"4/6/2025 9:05:08 AM","JB 61 HF GP","","GSM Jam","19","75.994","Long : 28.17585. Lat : -25.86188","","1","",""
"4/6/2025 9:06:00 AM","JB 61 HF GP","","Driving","26","76.206","Long : 28.17492. Lat : -25.8609","","1","",""
"4/6/2025 9:08:00 AM","JB 61 HF GP","","Driving","13","77.068","Long : 28.1824. Lat : -25.85735","","1","",""
"4/6/2025 9:10:00 AM","JB 61 HF GP","","Driving","55","77.690","Long : 28.18582. Lat : -25.85345","","1","",""
"4/6/2025 9:12:00 AM","JB 61 HF GP","","Speed Violation","48","78.905","Long : 28.18509. Lat : -25.84555","","1","",""
"4/6/2025 9:14:00 AM","JB 61 HF GP","","Driving","13","79.625","Long : 28.18611. Lat : -25.84165","","1","",""
"4/6/2025 9:16:00 AM","JB 61 HF GP","","Driving","0","79.703","Long : 28.18588. Lat : -25.84143","","1","",""
"4/6/2025 9:17:28 AM","JB 61 HF GP","","Ignition off","0","79.703","Long : 28.18588. Lat : -25.84143","","1","",""
"4/6/2025 9:32:15 AM","JB 61 HF GP","","Start up","0","79.703","Long : 28.18588. Lat : -25.84143","","1","",""
"4/6/2025 9:34:00 AM","JB 61 HF GP","","Driving","49","80.102","Long : 28.18468. Lat : -25.83904","","1","",""
"4/6/2025 9:36:00 AM","JB 61 HF GP","","Driving","53","81.032","Long : 28.17555. Lat : -25.83942","","1","",""
"4/6/2025 9:38:00 AM","JB 61 HF GP","","Driving","53","82.129","Long : 28.16488. Lat : -25.84138","","1","",""
"4/6/2025 9:40:00 AM","JB 61 HF GP","","Driving","35","83.683","Long : 28.1503. Lat : -25.841","","1","",""
"4/6/2025 9:42:00 AM","JB 61 HF GP","","Driving","21","84.683","Long : 28.14653. Lat : -25.84468","","1","",""
"4/6/2025 9:44:00 AM","JB 61 HF GP","","Speed Violation","29","85.505","Long : 28.14102. Lat : -25.84169","","1","",""
"4/6/2025 9:46:00 AM","JB 61 HF GP","","Driving","0","86.060","Long : 28.13674. Lat : -25.84319","","1","",""
"4/6/2025 9:48:00 AM","JB 61 HF GP","","Driving","0","86.060","Long : 28.13674. Lat : -25.84319","","1","",""
"4/6/2025 9:48:46 AM","JB 61 HF GP","","Ignition off","0","86.060","Long : 28.13674. Lat : -25.84319","","1","",""
"4/6/2025 4:00:31 PM","JB 61 HF GP","","Start up","0","86.060","Long : 28.13674. Lat : -25.84319","","1","",""
"4/6/2025 4:02:00 PM","JB 61 HF GP","","Driving","0","86.081","Long : 28.13684. Lat : -25.84311","","1","",""
"4/6/2025 4:04:00 PM","JB 61 HF GP","","Driving","0","86.081","Long : 28.13684. Lat : -25.84311","","1","",""
"4/6/2025 4:04:23 PM","JB 61 HF GP","","Ignition off","0","86.081","Long : 28.13684. Lat : -25.84311","","1","",""
"4/7/2025 4:05:11 AM","JB 61 HF GP","","Health Check; (Ignition off)","0","86.081","Long : 28.13665. Lat : -25.84314","","1","",""
